,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,
Ｆ２　あなたは、今、何歳ですか。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,
,総数,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,平均,標準偏差
インターネット利用（計）,2615    ,6.2    ,8.5    ,11.7    ,12.5    ,14.4    ,13.6    ,16.4    ,16.8    ,14.11    ,2.2    
インターネット非利用,527    ,24.3    ,22.4    ,21.8    ,11.8    ,9.5    ,6.1    ,1.9    ,2.3    ,11.97    ,1.8    
モバイル機器（計）,2548    ,5.9    ,8.4    ,11.3    ,12.5    ,14.4    ,13.6    ,16.8    ,17.1    ,14.15    ,2.1    
据置型機器（計）,611    ,7.5    ,10.5    ,12.8    ,12.3    ,13.6    ,13.1    ,15.2    ,15.1    ,13.89    ,2.2    
Ａスマートフォン（計）,1573    ,2.0    ,3.6    ,5.9    ,9.3    ,12.2    ,16.2    ,25.1    ,25.7    ,15.04    ,1.8    
Ｂ携帯電話（計）,150    ,11.3    ,7.3    ,14.7    ,14.7    ,20.7    ,12.7    ,9.3    ,9.3    ,13.48    ,2.1    
Ｃパソコン（計）,1129    ,6.2    ,9.1    ,13.1    ,11.7    ,13.5    ,14.0    ,15.1    ,17.4    ,14.06    ,2.2    
Ｄタブレット（計）,562    ,7.5    ,12.8    ,14.6    ,18.7    ,18.9    ,12.1    ,9.1    ,6.4    ,13.33    ,1.9    
Ｅ携帯音楽プレイヤー,327    ,1.2    ,3.7    ,9.8    ,14.1    ,22.9    ,17.1    ,17.1    ,14.1    ,14.44    ,1.7    
Ｆゲーム機（計）,719    ,11.0    ,15.4    ,17.2    ,16.6    ,14.3    ,8.2    ,9.0    ,8.2    ,13.10    ,2.1    
Ｇインターネット接続テレビ,58    ,1.7    ,8.6    ,15.5    ,15.5    ,15.5    ,19.0    ,12.1    ,12.1    ,14.00    ,1.9    
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,2.6    ,3.9    ,6.5    ,9.7    ,12.9    ,16.0    ,23.9    ,24.6    ,14.93    ,1.9    
Ａ・Ｂ機能限定や子供向け（計）,58    ,24.1    ,13.8    ,13.8    ,17.2    ,13.8    ,5.2    ,10.3    ,1.7    ,12.48    ,2.1    
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,1.9    ,3.6    ,6.2    ,9.4    ,13.0    ,16.4    ,24.3    ,25.2    ,15.01    ,1.8    
非該当,299    ,26.4    ,19.1    ,16.7    ,11.4    ,14.4    ,8.0    ,2.7    ,1.3    ,12.10    ,1.9    
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,
使っている（計）,2615    ,6.2    ,8.5    ,11.7    ,12.5    ,14.4    ,13.6    ,16.4    ,16.8    ,14.11    ,2.2    
使える機種・設定で、使っていない（計）,923    ,11.4    ,12.0    ,15.8    ,13.9    ,14.0    ,10.7    ,11.8    ,10.4    ,13.38    ,2.2    
使えない機種・設定で、使っていない（計）,932    ,13.9    ,16.1    ,17.1    ,12.0    ,10.4    ,9.5    ,9.4    ,11.5    ,13.13    ,2.3    
