,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
機能限定電話・子ども向け携帯電話,307    ,73.9    ,44.6    ,2.9    ,2.0    ,2.6    ,6.8    ,15.6    ,4.9    ,-,86.0    ,11.7    ,2.3    ,167.4    
ノートパソコン,846    ,90.9    ,43.9    ,4.0    ,7.4    ,3.8    ,12.4    ,20.4    ,11.6    ,0.2    ,94.4    ,4.7    ,0.8    ,200.2    
デスクトップパソコン,409    ,89.0    ,44.3    ,4.9    ,6.1    ,3.4    ,10.5    ,19.6    ,13.4    ,0.2    ,92.9    ,6.4    ,0.7    ,198.5    
タブレット,483    ,87.2    ,43.3    ,4.1    ,5.6    ,2.9    ,11.6    ,16.1    ,8.9    ,0.4    ,93.0    ,5.6    ,1.4    ,187.2    
学習用タブレット,202    ,87.1    ,51.5    ,4.0    ,5.9    ,4.0    ,10.4    ,21.8    ,8.4    ,-,93.6    ,5.4    ,1.0    ,199.5    
子供向け娯楽用タブレット,9    ,88.9    ,33.3    ,-,22.2    ,-,11.1    ,11.1    ,11.1    ,-,100.0    ,-,-,177.8    
携帯音楽プレイヤー,875    ,92.9    ,42.2    ,4.9    ,7.7    ,4.7    ,13.8    ,22.9    ,11.5    ,0.5    ,95.4    ,3.9    ,0.7    ,205.6    
携帯ゲーム機,1495    ,84.9    ,41.0    ,3.5    ,5.2    ,3.4    ,10.4    ,18.5    ,8.2    ,0.2    ,90.2    ,8.0    ,1.7    ,185.0    
据置型ゲーム機,891    ,86.5    ,43.7    ,3.9    ,5.5    ,3.9    ,11.7    ,20.3    ,10.7    ,0.2    ,91.9    ,6.5    ,1.6    ,194.5    
インターネット接続テレビ,114    ,89.5    ,42.1    ,7.0    ,7.9    ,7.0    ,10.5    ,23.7    ,21.1    ,0.9    ,93.0    ,4.4    ,2.6    ,216.7    
利用している（計）,3142    ,86.6    ,39.1    ,3.5    ,5.4    ,3.3    ,10.1    ,17.2    ,7.4    ,0.2    ,91.6    ,7.0    ,1.4    ,181.3    
いずれも利用していない,299    ,77.9    ,30.1    ,3.7    ,0.3    ,0.3    ,6.7    ,9.0    ,1.0    ,0.3    ,79.9    ,15.4    ,4.7    ,149.5    
Ａスマートフォン（計）,1678    ,90.8    ,37.5    ,3.8    ,8.8    ,4.6    ,12.5    ,17.9    ,10.0    ,0.2    ,94.4    ,4.6    ,1.0    ,191.7    
Ｂ携帯電話（計）,694    ,82.3    ,46.0    ,3.5    ,2.9    ,3.2    ,8.9    ,16.6    ,5.9    ,0.4    ,89.2    ,9.2    ,1.6    ,180.4    
Ｃパソコン（計）,1202    ,90.3    ,43.8    ,4.2    ,6.8    ,3.5    ,11.6    ,20.5    ,12.1    ,0.2    ,94.1    ,5.2    ,0.7    ,199.0    
