,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
非該当,1946    ,49.7    ,0.8    ,1.9    ,2.0    ,9.6    ,7.7    ,19.9    ,10.2    ,11.7    ,3.2    ,0.1    ,21.0    ,-,9.5    ,2.3    ,84.6    ,15.4    ,53.6    ,17.2    ,29.0    ,14.6    ,21.0    ,9.5    ,2.3    ,69.2    ,9.6    ,60.8    ,164.9    
【全数】Ｑ２〔ネット利用状況（Ｆ２据置型ゲーム）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,266    ,48.9    ,0.4    ,1.1    ,3.8    ,11.3    ,9.0    ,36.5    ,22.9    ,22.6    ,10.2    ,0.4    ,34.6    ,79.3    ,100.0    ,10.2    ,100.0    ,-,51.1    ,20.3    ,56.0    ,32.0    ,34.6    ,100.0    ,10.2    ,63.5    ,10.2    ,57.5    ,391.0    
使える機種・設定で、使っていない,327    ,43.7    ,0.6    ,1.2    ,4.6    ,13.8    ,9.8    ,38.2    ,12.5    ,23.2    ,10.7    ,0.3    ,34.3    ,84.7    ,100.0    ,6.7    ,100.0    ,-,47.4    ,23.2    ,48.0    ,32.7    ,34.3    ,100.0    ,6.7    ,67.6    ,11.0    ,57.5    ,384.4    
使えない機種・設定で、使っていない,205    ,33.2    ,0.5    ,1.0    ,2.4    ,20.0    ,10.7    ,27.8    ,14.1    ,16.1    ,7.8    ,0.5    ,33.7    ,77.1    ,100.0    ,3.9    ,100.0    ,-,35.6    ,30.7    ,40.5    ,23.4    ,33.7    ,100.0    ,3.9    ,61.5    ,11.7    ,50.7    ,348.8    
わからない,93    ,41.9    ,-,5.4    ,1.1    ,8.6    ,12.9    ,22.6    ,14.0    ,9.7    ,8.6    ,-,29.0    ,65.6    ,100.0    ,1.1    ,100.0    ,-,48.4    ,21.5    ,36.6    ,16.1    ,29.0    ,100.0    ,1.1    ,68.8    ,18.3    ,50.5    ,320.4    
非該当,2550    ,45.5    ,0.7    ,1.8    ,2.7    ,10.5    ,8.5    ,21.4    ,10.4    ,12.0    ,4.5    ,0.2    ,22.5    ,30.9    ,-,2.2    ,88.3    ,11.7    ,49.8    ,18.9    ,30.5    ,16.1    ,22.5    ,30.9    ,2.2    ,66.9    ,10.3    ,57.8    ,185.7    
【全数】Ｑ２〔ネット利用状況（Ｇ１ネットテレビ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っている,58    ,58.6    ,1.7    ,1.7    ,8.6    ,17.2    ,3.4    ,34.5    ,43.1    ,24.1    ,3.4    ,-,41.4    ,58.6    ,39.7    ,100.0    ,100.0    ,-,62.1    ,20.7    ,70.7    ,25.9    ,41.4    ,70.7    ,100.0    ,77.6    ,5.2    ,75.9    ,436.2    
使える機種・設定で、使っていない,44    ,59.1    ,-,-,-,6.8    ,2.3    ,50.0    ,27.3    ,25.0    ,2.3    ,-,47.7    ,61.4    ,63.6    ,100.0    ,100.0    ,-,59.1    ,9.1    ,72.7    ,27.3    ,47.7    ,77.3    ,100.0    ,68.2    ,2.3    ,65.9    ,445.5    
使えない機種・設定で、使っていない,5    ,80.0    ,-,-,-,-,-,60.0    ,-,40.0    ,20.0    ,-,60.0    ,80.0    ,60.0    ,100.0    ,100.0    ,-,80.0    ,-,60.0    ,60.0    ,60.0    ,80.0    ,100.0    ,80.0    ,-,80.0    ,500.0    
わからない,7    ,71.4    ,-,-,14.3    ,14.3    ,14.3    ,57.1    ,14.3    ,14.3    ,14.3    ,-,28.6    ,71.4    ,57.1    ,100.0    ,100.0    ,-,71.4    ,28.6    ,71.4    ,28.6    ,28.6    ,71.4    ,100.0    ,85.7    ,14.3    ,71.4    ,471.4    
非該当,3327    ,44.2    ,0.6    ,1.8    ,2.8    ,11.4    ,9.1    ,24.0    ,11.2    ,13.7    ,5.9    ,0.3    ,24.8    ,42.8    ,25.0    ,-,91.0    ,9.0    ,48.3    ,20.3    ,33.7    ,19.1    ,24.8    ,47.9    ,-,66.1    ,10.9    ,56.6    ,226.6    
Ｑ３〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション（計）,1732    ,75.3    ,0.9    ,1.4    ,3.6    ,10.5    ,3.5    ,30.4    ,14.5    ,15.5    ,5.4    ,0.3    ,35.9    ,40.7    ,26.8    ,5.0    ,100.0    ,-,79.2    ,13.9    ,42.6    ,20.2    ,35.9    ,46.0    ,5.0    ,89.9    ,5.0    ,86.4    ,269.7    
ニュース（計）,638    ,75.4    ,1.3    ,1.3    ,4.9    ,8.8    ,4.1    ,38.7    ,18.5    ,18.5    ,7.4    ,0.2    ,43.1    ,45.9    ,33.5    ,7.5    ,100.0    ,-,79.0    ,12.7    ,53.9    ,24.8    ,43.1    ,53.3    ,7.5    ,88.4    ,5.3    ,85.1    ,308.9    
情報検索（計）,1626    ,62.1    ,0.7    ,1.7    ,4.1    ,10.9    ,5.9    ,37.8    ,18.9    ,19.9    ,8.0    ,0.4    ,36.7    ,46.1    ,30.6    ,5.4    ,100.0    ,-,66.5    ,16.6    ,54.1    ,26.8    ,36.7    ,52.0    ,5.4    ,79.6    ,7.6    ,74.0    ,289.1    
地図・ナビゲーション（計）,701    ,81.5    ,1.1    ,1.4    ,3.0    ,7.4    ,2.7    ,33.8    ,18.8    ,17.4    ,5.3    ,0.3    ,41.2    ,41.9    ,28.2    ,6.3    ,100.0    ,-,84.6    ,9.6    ,50.2    ,21.5    ,41.2    ,48.4    ,6.3    ,91.9    ,4.1    ,89.3    ,290.4    
音楽視聴（計）,1607    ,70.3    ,0.7    ,1.1    ,3.4    ,9.8    ,4.2    ,32.2    ,15.3    ,17.3    ,5.7    ,0.3    ,38.9    ,42.1    ,27.4    ,4.9    ,100.0    ,-,73.6    ,13.8    ,45.3    ,22.2    ,38.9    ,47.6    ,4.9    ,84.3    ,5.3    ,80.8    ,273.5    
動画視聴（計）,1804    ,64.0    ,0.7    ,1.3    ,4.0    ,10.1    ,5.4    ,35.3    ,17.6    ,19.2    ,6.4    ,0.3    ,34.7    ,46.6    ,30.1    ,5.1    ,100.0    ,-,67.8    ,15.3    ,50.4    ,24.8    ,34.7    ,52.7    ,5.1    ,79.9    ,6.7    ,74.9    ,280.8    
電子書籍（計）,303    ,77.2    ,1.0    ,1.3    ,3.6    ,9.6    ,3.3    ,31.7    ,16.5    ,21.1    ,7.6    ,-,42.6    ,44.9    ,32.3    ,5.6    ,100.0    ,-,79.5    ,12.5    ,46.2    ,27.7    ,42.6    ,51.2    ,5.6    ,89.4    ,4.6    ,86.5    ,298.3    
ゲーム（計）,1856    ,60.3    ,0.9    ,1.7    ,4.1    ,9.3    ,6.4    ,31.1    ,15.0    ,18.9    ,6.4    ,0.2    ,31.5    ,53.8    ,33.5    ,4.8    ,100.0    ,-,65.0    ,15.7    ,44.0    ,24.2    ,31.5    ,59.8    ,4.8    ,77.3    ,8.1    ,71.1    ,278.0    
ショッピング・オークション（計）,299    ,78.6    ,0.7    ,-,6.0    ,8.0    ,3.3    ,41.1    ,21.1    ,18.4    ,4.3    ,0.3    ,37.1    ,43.1    ,31.1    ,6.7    ,100.0    ,-,80.6    ,11.0    ,58.9    ,21.1    ,37.1    ,48.8    ,6.7    ,88.6    ,3.3    ,87.3    ,300.0    
その他（計）,185    ,54.1    ,0.5    ,2.2    ,5.9    ,14.6    ,8.1    ,41.6    ,25.4    ,21.6    ,31.4    ,1.1    ,34.6    ,57.8    ,33.0    ,8.1    ,100.0    ,-,58.9    ,22.7    ,64.3    ,47.0    ,34.6    ,63.2    ,8.1    ,76.8    ,10.3    ,68.6    ,340.0    
わからない（計）,67    ,44.8    ,1.5    ,9.0    ,4.5    ,10.4    ,13.4    ,35.8    ,26.9    ,25.4    ,11.9    ,-,23.9    ,67.2    ,41.8    ,10.4    ,100.0    ,-,55.2    ,23.9    ,61.2    ,34.3    ,23.9    ,71.6    ,10.4    ,73.1    ,22.4    ,55.2    ,326.9    
Ｑ３〔ネット利用項目（Ａ１スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1292    ,100.0    ,0.2    ,0.4    ,2.0    ,1.8    ,0.8    ,28.9    ,15.2    ,11.5    ,3.6    ,0.2    ,34.0    ,36.4    ,24.2    ,4.8    ,100.0    ,-,100.0    ,2.5    ,41.6    ,14.5    ,34.0    ,41.5    ,4.8    ,100.0    ,1.2    ,100.0    ,263.7    
ニュース,431    ,100.0    ,0.2    ,0.7    ,3.7    ,1.6    ,1.2    ,34.8    ,15.8    ,13.0    ,4.6    ,-,41.1    ,42.5    ,30.2    ,7.2    ,100.0    ,-,100.0    ,2.8    ,47.3    ,16.9    ,41.1    ,48.7    ,7.2    ,100.0    ,1.9    ,100.0    ,296.5    
情報検索,920    ,100.0    ,0.1    ,0.3    ,2.6    ,2.2    ,2.0    ,31.1    ,15.5    ,13.4    ,4.1    ,0.2    ,37.1    ,39.1    ,27.1    ,5.3    ,100.0    ,-,100.0    ,3.9    ,44.5    ,16.6    ,37.1    ,44.5    ,5.3    ,100.0    ,2.3    ,100.0    ,280.1    
地図・ナビゲーション,548    ,100.0    ,-,0.2    ,2.4    ,1.6    ,1.1    ,32.1    ,17.9    ,12.6    ,3.6    ,0.2    ,40.0    ,40.1    ,26.8    ,6.2    ,100.0    ,-,100.0    ,2.4    ,47.3    ,15.3    ,40.0    ,45.6    ,6.2    ,100.0    ,1.3    ,100.0    ,284.9    
音楽視聴,1052    ,100.0    ,0.1    ,0.4    ,1.7    ,1.7    ,1.4    ,28.4    ,14.4    ,11.2    ,4.2    ,0.2    ,33.6    ,37.6    ,24.8    ,5.1    ,100.0    ,-,100.0    ,3.0    ,40.7    ,14.6    ,33.6    ,42.7    ,5.1    ,100.0    ,1.8    ,100.0    ,264.9    
動画視聴,1068    ,100.0    ,0.1    ,0.5    ,2.8    ,1.6    ,1.5    ,30.1    ,15.5    ,12.3    ,4.2    ,0.2    ,34.0    ,39.9    ,27.4    ,5.4    ,100.0    ,-,100.0    ,3.0    ,43.0    ,15.8    ,34.0    ,45.2    ,5.4    ,100.0    ,2.0    ,100.0    ,275.5    
電子書籍,218    ,100.0    ,-,0.5    ,4.1    ,2.3    ,0.9    ,28.9    ,17.4    ,17.4    ,5.5    ,-,39.0    ,40.4    ,29.8    ,5.5    ,100.0    ,-,100.0    ,3.2    ,43.6    ,22.5    ,39.0    ,45.4    ,5.5    ,100.0    ,1.4    ,100.0    ,291.7    
ゲーム,1054    ,100.0    ,-,0.6    ,2.5    ,1.9    ,1.5    ,29.0    ,14.1    ,11.7    ,4.4    ,0.2    ,32.9    ,44.1    ,28.8    ,4.8    ,100.0    ,-,100.0    ,3.4    ,41.2    ,15.4    ,32.9    ,49.2    ,4.8    ,100.0    ,2.1    ,100.0    ,276.6    
ショッピング・オークション,177    ,100.0    ,-,-,5.1    ,0.6    ,2.3    ,34.5    ,15.3    ,12.4    ,2.8    ,0.6    ,35.0    ,33.3    ,24.9    ,5.1    ,100.0    ,-,100.0    ,2.8    ,46.9    ,14.7    ,35.0    ,39.0    ,5.1    ,100.0    ,2.3    ,100.0    ,271.8    
その他,39    ,100.0    ,-,-,-,-,-,43.6    ,15.4    ,20.5    ,5.1    ,-,51.3    ,38.5    ,33.3    ,7.7    ,100.0    ,-,100.0    ,-,53.8    ,25.6    ,51.3    ,43.6    ,7.7    ,100.0    ,-,100.0    ,315.4    
わからない,3    ,100.0    ,-,-,-,-,-,33.3    ,33.3    ,-,-,-,-,66.7    ,33.3    ,-,100.0    ,-,100.0    ,-,66.7    ,-,-,66.7    ,-,100.0    ,-,100.0    ,266.7    
Ｑ３〔ネット利用項目（Ａ２格安スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,14    ,14.3    ,100.0    ,-,7.1    ,14.3    ,7.1    ,28.6    ,14.3    ,-,-,-,14.3    ,28.6    ,14.3    ,7.1    ,100.0    ,-,100.0    ,21.4    ,42.9    ,-,14.3    ,42.9    ,7.1    ,100.0    ,7.1    ,100.0    ,250.0    
ニュース,6    ,-,100.0    ,-,-,16.7    ,-,-,50.0    ,-,-,-,16.7    ,50.0    ,-,-,100.0    ,-,100.0    ,16.7    ,50.0    ,-,16.7    ,50.0    ,-,100.0    ,-,100.0    ,233.3    
情報検索,9    ,11.1    ,100.0    ,-,11.1    ,11.1    ,11.1    ,11.1    ,33.3    ,-,-,-,22.2    ,44.4    ,-,11.1    ,100.0    ,-,100.0    ,22.2    ,44.4    ,-,22.2    ,44.4    ,11.1    ,100.0    ,11.1    ,100.0    ,266.7    
地図・ナビゲーション,6    ,-,100.0    ,-,-,16.7    ,-,16.7    ,33.3    ,-,-,-,16.7    ,50.0    ,16.7    ,-,100.0    ,-,100.0    ,16.7    ,50.0    ,-,16.7    ,66.7    ,-,100.0    ,-,100.0    ,250.0    
音楽視聴,11    ,9.1    ,100.0    ,-,9.1    ,9.1    ,9.1    ,27.3    ,9.1    ,-,-,-,18.2    ,36.4    ,9.1    ,9.1    ,100.0    ,-,100.0    ,18.2    ,36.4    ,-,18.2    ,45.5    ,9.1    ,100.0    ,9.1    ,100.0    ,245.5    
動画視聴,11    ,9.1    ,100.0    ,-,9.1    ,18.2    ,9.1    ,36.4    ,9.1    ,-,-,-,18.2    ,36.4    ,27.3    ,9.1    ,100.0    ,-,100.0    ,27.3    ,45.5    ,-,18.2    ,63.6    ,9.1    ,100.0    ,9.1    ,100.0    ,281.8    
電子書籍,2    ,-,100.0    ,-,-,-,-,50.0    ,-,-,-,-,-,50.0    ,-,-,100.0    ,-,100.0    ,-,50.0    ,-,-,50.0    ,-,100.0    ,-,100.0    ,200.0    
ゲーム,14    ,7.1    ,100.0    ,-,-,14.3    ,-,14.3    ,14.3    ,-,-,-,14.3    ,35.7    ,7.1    ,-,100.0    ,-,100.0    ,14.3    ,28.6    ,-,14.3    ,42.9    ,-,100.0    ,-,100.0    ,207.1    
ショッピング・オークション,1    ,-,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,200.0    
その他,1    ,-,100.0    ,-,-,100.0    ,-,-,100.0    ,-,-,-,100.0    ,100.0    ,-,-,100.0    ,-,100.0    ,100.0    ,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,500.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,17    ,11.8    ,-,100.0    ,-,5.9    ,-,11.8    ,5.9    ,11.8    ,-,-,23.5    ,23.5    ,35.3    ,5.9    ,100.0    ,-,100.0    ,5.9    ,17.6    ,11.8    ,23.5    ,35.3    ,5.9    ,100.0    ,100.0    ,17.6    ,235.3    
ニュース,2    ,-,-,100.0    ,-,-,-,-,-,-,-,-,50.0    ,-,-,-,100.0    ,-,100.0    ,-,-,-,50.0    ,-,-,100.0    ,100.0    ,-,150.0    
情報検索,12    ,8.3    ,-,100.0    ,-,-,-,8.3    ,-,-,-,-,16.7    ,8.3    ,16.7    ,8.3    ,100.0    ,-,100.0    ,-,8.3    ,-,16.7    ,16.7    ,8.3    ,100.0    ,100.0    ,8.3    ,166.7    
地図・ナビゲーション,6    ,16.7    ,-,100.0    ,-,-,-,16.7    ,-,-,-,-,33.3    ,16.7    ,16.7    ,16.7    ,100.0    ,-,100.0    ,-,16.7    ,-,33.3    ,16.7    ,16.7    ,100.0    ,100.0    ,16.7    ,216.7    
音楽視聴,9    ,22.2    ,-,100.0    ,11.1    ,11.1    ,-,22.2    ,-,11.1    ,-,-,22.2    ,11.1    ,22.2    ,-,100.0    ,-,100.0    ,11.1    ,22.2    ,11.1    ,22.2    ,22.2    ,-,100.0    ,100.0    ,33.3    ,233.3    
動画視聴,10    ,20.0    ,-,100.0    ,10.0    ,10.0    ,-,20.0    ,-,-,-,-,30.0    ,20.0    ,20.0    ,10.0    ,100.0    ,-,100.0    ,10.0    ,20.0    ,-,30.0    ,20.0    ,10.0    ,100.0    ,100.0    ,30.0    ,240.0    
電子書籍,1    ,100.0    ,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,100.0    ,100.0    ,200.0    
ゲーム,12    ,8.3    ,-,100.0    ,8.3    ,-,-,8.3    ,-,-,-,-,16.7    ,16.7    ,25.0    ,8.3    ,100.0    ,-,100.0    ,-,8.3    ,-,16.7    ,33.3    ,8.3    ,100.0    ,100.0    ,16.7    ,191.7    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,3    ,-,-,100.0    ,-,-,-,-,-,33.3    ,33.3    ,-,-,66.7    ,-,-,100.0    ,-,100.0    ,-,-,33.3    ,-,66.7    ,-,100.0    ,100.0    ,-,233.3    
わからない,3    ,-,-,100.0    ,-,-,-,-,33.3    ,-,-,-,-,66.7    ,-,-,100.0    ,-,100.0    ,-,33.3    ,-,-,66.7    ,-,100.0    ,100.0    ,-,200.0    
Ｑ３〔ネット利用項目（Ａ４契約切れスマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,31    ,9.7    ,-,-,100.0    ,19.4    ,12.9    ,29.0    ,6.5    ,9.7    ,-,-,16.1    ,45.2    ,16.1    ,3.2    ,100.0    ,-,100.0    ,32.3    ,32.3    ,9.7    ,16.1    ,45.2    ,3.2    ,100.0    ,12.9    ,100.0    ,267.7    
ニュース,11    ,18.2    ,-,-,100.0    ,9.1    ,18.2    ,27.3    ,9.1    ,9.1    ,-,-,-,36.4    ,18.2    ,9.1    ,100.0    ,-,100.0    ,27.3    ,36.4    ,9.1    ,-,36.4    ,9.1    ,100.0    ,18.2    ,100.0    ,254.5    
情報検索,33    ,27.3    ,-,3.0    ,100.0    ,9.1    ,9.1    ,27.3    ,9.1    ,21.2    ,6.1    ,-,12.1    ,57.6    ,21.2    ,6.1    ,100.0    ,-,100.0    ,18.2    ,36.4    ,27.3    ,12.1    ,57.6    ,6.1    ,100.0    ,12.1    ,100.0    ,309.1    
地図・ナビゲーション,7    ,14.3    ,-,-,100.0    ,-,14.3    ,28.6    ,14.3    ,-,14.3    ,-,-,42.9    ,-,-,100.0    ,-,100.0    ,14.3    ,42.9    ,14.3    ,-,42.9    ,-,100.0    ,14.3    ,100.0    ,228.6    
音楽視聴,33    ,21.2    ,-,3.0    ,100.0    ,15.2    ,15.2    ,27.3    ,12.1    ,12.1    ,-,-,15.2    ,42.4    ,18.2    ,6.1    ,100.0    ,-,100.0    ,30.3    ,33.3    ,12.1    ,15.2    ,42.4    ,6.1    ,100.0    ,18.2    ,100.0    ,287.9    
動画視聴,43    ,25.6    ,-,2.3    ,100.0    ,16.3    ,11.6    ,27.9    ,9.3    ,14.0    ,-,-,9.3    ,58.1    ,23.3    ,7.0    ,100.0    ,-,100.0    ,27.9    ,34.9    ,14.0    ,9.3    ,58.1    ,7.0    ,100.0    ,14.0    ,100.0    ,304.7    
電子書籍,3    ,33.3    ,-,-,100.0    ,-,-,66.7    ,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,66.7    ,-,-,-,-,100.0    ,-,100.0    ,200.0    
ゲーム,50    ,18.0    ,-,4.0    ,100.0    ,18.0    ,16.0    ,28.0    ,14.0    ,8.0    ,4.0    ,-,16.0    ,62.0    ,24.0    ,4.0    ,100.0    ,-,100.0    ,34.0    ,38.0    ,12.0    ,16.0    ,64.0    ,4.0    ,100.0    ,20.0    ,100.0    ,316.0    
ショッピング・オークション,4    ,25.0    ,-,-,100.0    ,-,-,50.0    ,25.0    ,-,-,-,-,50.0    ,25.0    ,-,100.0    ,-,100.0    ,-,75.0    ,-,-,50.0    ,-,100.0    ,-,100.0    ,275.0    
その他,1    ,100.0    ,-,-,100.0    ,-,-,100.0    ,-,-,-,-,100.0    ,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,600.0    
わからない,1    ,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,400.0    
Ｑ３〔ネット利用項目（Ｂ１携帯電話／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,109    ,7.3    ,1.8    ,0.9    ,2.8    ,100.0    ,-,34.9    ,9.2    ,17.4    ,6.4    ,-,46.8    ,48.6    ,25.7    ,5.5    ,100.0    ,-,11.9    ,100.0    ,44.0    ,22.0    ,46.8    ,54.1    ,5.5    ,100.0    ,0.9    ,100.0    ,307.3    
ニュース,11    ,-,9.1    ,-,-,100.0    ,-,27.3    ,9.1    ,9.1    ,27.3    ,-,36.4    ,54.5    ,45.5    ,9.1    ,100.0    ,-,9.1    ,100.0    ,36.4    ,27.3    ,36.4    ,72.7    ,9.1    ,100.0    ,-,100.0    ,327.3    
情報検索,20    ,10.0    ,-,5.0    ,-,100.0    ,-,40.0    ,5.0    ,10.0    ,10.0    ,-,30.0    ,55.0    ,35.0    ,5.0    ,100.0    ,-,10.0    ,100.0    ,45.0    ,20.0    ,30.0    ,55.0    ,5.0    ,100.0    ,5.0    ,100.0    ,305.0    
地図・ナビゲーション,7    ,-,14.3    ,-,-,100.0    ,-,28.6    ,28.6    ,-,-,-,57.1    ,57.1    ,57.1    ,28.6    ,100.0    ,-,14.3    ,100.0    ,57.1    ,-,57.1    ,85.7    ,28.6    ,100.0    ,-,100.0    ,371.4    
音楽視聴,16    ,6.3    ,-,6.3    ,-,100.0    ,-,37.5    ,6.3    ,6.3    ,-,-,43.8    ,50.0    ,43.8    ,6.3    ,100.0    ,-,6.3    ,100.0    ,43.8    ,6.3    ,43.8    ,56.3    ,6.3    ,100.0    ,6.3    ,100.0    ,306.3    
動画視聴,9    ,11.1    ,-,11.1    ,-,100.0    ,-,33.3    ,-,-,-,-,22.2    ,44.4    ,33.3    ,-,100.0    ,-,11.1    ,100.0    ,33.3    ,-,22.2    ,44.4    ,-,100.0    ,11.1    ,100.0    ,255.6    
電子書籍,3    ,-,-,-,-,100.0    ,-,-,-,-,-,-,33.3    ,33.3    ,-,-,100.0    ,-,-,100.0    ,-,-,33.3    ,33.3    ,-,100.0    ,-,100.0    ,166.7    
ゲーム,14    ,7.1    ,-,-,7.1    ,100.0    ,-,28.6    ,14.3    ,7.1    ,14.3    ,-,42.9    ,71.4    ,35.7    ,-,100.0    ,-,14.3    ,100.0    ,42.9    ,21.4    ,42.9    ,71.4    ,-,100.0    ,-,100.0    ,328.6    
ショッピング・オークション,2    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,100.0    ,100.0    ,50.0    ,-,100.0    ,-,-,100.0    ,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,450.0    
その他,5    ,20.0    ,-,-,-,100.0    ,-,40.0    ,20.0    ,-,-,-,40.0    ,60.0    ,20.0    ,20.0    ,100.0    ,-,20.0    ,100.0    ,60.0    ,-,40.0    ,60.0    ,20.0    ,100.0    ,-,100.0    ,320.0    
わからない,2    ,-,-,-,-,100.0    ,-,-,-,-,-,-,50.0    ,50.0    ,-,-,100.0    ,-,-,100.0    ,-,-,50.0    ,50.0    ,-,100.0    ,-,100.0    ,200.0    
Ｑ３〔ネット利用項目（Ｂ２子ども向け携帯等／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,19    ,5.3    ,-,-,5.3    ,-,100.0    ,15.8    ,21.1    ,26.3    ,10.5    ,-,26.3    ,57.9    ,31.6    ,-,100.0    ,-,10.5    ,100.0    ,31.6    ,31.6    ,26.3    ,68.4    ,-,100.0    ,100.0    ,10.5    ,300.0    
ニュース,1    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,100.0    ,-,100.0    
情報検索,5    ,40.0    ,-,-,-,-,100.0    ,40.0    ,-,-,-,-,-,20.0    ,20.0    ,20.0    ,100.0    ,-,40.0    ,100.0    ,40.0    ,-,-,40.0    ,20.0    ,100.0    ,100.0    ,40.0    ,240.0    
地図・ナビゲーション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音楽視聴,3    ,33.3    ,-,-,-,-,100.0    ,33.3    ,-,-,-,-,-,-,33.3    ,-,100.0    ,-,33.3    ,100.0    ,33.3    ,-,-,33.3    ,-,100.0    ,100.0    ,33.3    ,200.0    
動画視聴,2    ,-,-,-,-,-,100.0    ,50.0    ,-,-,-,-,-,-,-,-,100.0    ,-,-,100.0    ,50.0    ,-,-,-,-,100.0    ,100.0    ,-,150.0    
電子書籍,1    ,-,-,-,-,-,100.0    ,100.0    ,-,-,-,-,-,100.0    ,-,-,100.0    ,-,-,100.0    ,100.0    ,-,-,100.0    ,-,100.0    ,100.0    ,-,300.0    
ゲーム,4    ,-,-,-,25.0    ,-,100.0    ,25.0    ,-,-,-,-,-,-,-,-,100.0    ,-,25.0    ,100.0    ,25.0    ,-,-,-,-,100.0    ,100.0    ,25.0    ,150.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,1    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,100.0    ,-,-,100.0    ,-,-,100.0    ,-,-,-,100.0    ,-,100.0    ,100.0    ,-,200.0    
わからない,3    ,33.3    ,-,-,-,-,100.0    ,66.7    ,-,33.3    ,33.3    ,-,33.3    ,33.3    ,33.3    ,-,100.0    ,-,33.3    ,100.0    ,66.7    ,33.3    ,33.3    ,33.3    ,-,100.0    ,100.0    ,33.3    ,366.7    
Ｑ３〔ネット利用項目（Ｃ１ノートＰＣ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,176    ,60.8    ,1.7    ,0.6    ,6.3    ,14.8    ,4.5    ,100.0    ,7.4    ,15.9    ,9.1    ,1.1    ,45.5    ,55.1    ,40.9    ,6.3    ,100.0    ,-,64.8    ,19.3    ,100.0    ,22.7    ,45.5    ,63.1    ,6.3    ,79.0    ,5.1    ,75.0    ,369.9    
