,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
  インターネット利用（計）,965    ,91.0    ,0.4    ,0.8    ,2.1    ,4.8    ,0.5    ,31.2    ,16.7    ,10.4    ,1.8    ,-,35.6    ,32.5    ,20.4    ,3.7    ,100.0    ,-,92.5    ,5.2    ,45.5    ,11.8    ,35.6    ,37.6    ,3.7    ,96.9    ,1.3    ,96.2    ,251.9    
  インターネット非利用（含わからない）,27    ,70.4    ,3.7    ,-,-,18.5    ,-,3.7    ,3.7    ,3.7    ,-,-,18.5    ,18.5    ,3.7    ,3.7    ,100.0    ,-,74.1    ,18.5    ,7.4    ,3.7    ,18.5    ,18.5    ,3.7    ,88.9    ,-,88.9    ,148.1    
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  １人以上いる,1846    ,46.4    ,0.8    ,1.7    ,3.0    ,10.7    ,6.6    ,24.0    ,12.4    ,13.2    ,4.5    ,0.1    ,25.9    ,39.5    ,22.9    ,3.1    ,90.2    ,9.8    ,50.4    ,17.1    ,34.6    ,17.3    ,25.9    ,44.4    ,3.1    ,65.1    ,8.3    ,58.3    ,224.5    
  いない,1595    ,42.9    ,0.5    ,1.8    ,2.8    ,12.2    ,11.6    ,25.3    ,11.3    ,15.0    ,7.5    ,0.4    ,24.8    ,48.0    ,29.4    ,3.6    ,92.5    ,7.5    ,46.8    ,23.8    ,35.3    ,21.7    ,24.8    ,53.9    ,3.6    ,67.9    ,13.4    ,55.8    ,244.5    
小学生（計）,1080    ,11.7    ,0.3    ,2.8    ,2.9    ,10.8    ,21.9    ,18.7    ,8.3    ,14.3    ,6.1    ,0.6    ,9.8    ,55.7    ,31.5    ,2.4    ,84.2    ,15.8    ,17.1    ,32.6    ,26.3    ,20.1    ,9.8    ,60.4    ,2.4    ,46.1    ,24.6    ,23.8    ,213.5    
  １人以上いる,511    ,11.7    ,0.2    ,2.3    ,2.9    ,10.2    ,16.0    ,18.6    ,8.8    ,12.7    ,4.7    ,0.4    ,10.8    ,52.1    ,28.6    ,2.2    ,80.8    ,19.2    ,17.2    ,26.2    ,26.6    ,17.0    ,10.8    ,55.8    ,2.2    ,39.7    ,18.4    ,23.5    ,201.4    
  いない,569    ,11.6    ,0.4    ,3.2    ,2.8    ,11.4    ,27.1    ,18.8    ,7.9    ,15.6    ,7.4    ,0.7    ,9.0    ,59.1    ,34.1    ,2.6    ,87.2    ,12.8    ,17.0    ,38.3    ,26.0    ,22.8    ,9.0    ,64.5    ,2.6    ,51.8    ,30.2    ,24.1    ,224.4    
中学生（計）,1329    ,37.3    ,1.0    ,1.7    ,3.7    ,16.7    ,5.0    ,25.6    ,11.7    ,17.1    ,9.0    ,0.2    ,31.0    ,42.6    ,26.4    ,3.8    ,91.5    ,8.5    ,41.9    ,21.4    ,35.6    ,25.1    ,31.0    ,49.0    ,3.8    ,60.4    ,6.6    ,55.1    ,241.2    
  １人以上いる,740    ,35.9    ,1.4    ,1.6    ,3.8    ,15.5    ,5.0    ,25.7    ,11.4    ,16.8    ,6.9    ,-,31.4    ,38.0    ,23.8    ,3.2    ,90.7    ,9.3    ,40.8    ,20.1    ,35.1    ,23.1    ,31.4    ,44.3    ,3.2    ,58.4    ,6.6    ,53.4    ,229.6    
  いない,589    ,39.0    ,0.5    ,1.7    ,3.6    ,18.2    ,4.9    ,25.5    ,12.1    ,17.5    ,11.5    ,0.5    ,30.6    ,48.4    ,29.7    ,4.6    ,92.5    ,7.5    ,43.3    ,23.1    ,36.2    ,27.5    ,30.6    ,54.8    ,4.6    ,63.0    ,6.6    ,57.2    ,255.7    
