都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
埼玉県,151,53.6,2.6,4,4,7.9,9.3,18.5,4.6,25.2,2.6,0.7,14.6,39.7,15.2,2.6,96.7,3.3,64.2,17.2,21.9,27.2,14.6,43,2.6,79.5,13.2,67.5,208.6,151,53.6,2.6,4,4,7.9,9.3,18.5,4.6,25.2,2.6,0.7,14.6,39.7,15.2,2.6,96.7,3.3,64.2,17.2,21.9,27.2,14.6,43,2.6,79.5,13.2,67.5,208.6,146,54.8,2.7,0.7,2.7,2.7,2.1,18.5,4.1,24.7,2.1,0,6.2,24.7,8.2,1.4,89.7,10.3,89.7,13,61,4.8,21.2,26,6.2,26.7,1.4,65.8,2.7,63,80,85,42.5,61.3,40,61.3,75,13.8,58.8,15,0,0,131,3.1,8.4,13,20.6,18.3,15.3,5.3,3.8,6.9,1.5,0,0.8,0,0,0,3.1,51.9,13,9.2,0.8,0,148.43,151.6,131,51.1,2.3,0.8,3.1,1.5,1.5,18.3,3.1,25.2,2.3,0,6.1,22.1,8.4,1.5,84.7,15.3,57.3,3.1,19.8,26.7,6.1,23.7,1.5,60.3,2.3,58,131,3.1,0,2.3,2.3,1.5,0.8,12.2,15.3,9.2,2.3,0.8,0.8,7.6,1.5,29,70.2,0.8,130.5,131,23.7,18.3,5.3,6.1,9.2,14.5,19.1,17.6,5.3,57.3,41.2,1.5,161.8,151,88.7,37.7,1.3,4,4.6,3.3,9.9,6.6,0,92.7,5.3,2,163.6,151,55,45,151,12.6,7.3,9.9,15.9,13.9,7.9,17.2,15.2,13.8,2.3,151,5.3,4.6,5.3,7.3,8.6,4.6,9.9,9.3,7.3,2.6,4.6,8.6,5.3,3.3,7.3,6,151,8.6,8.6,7.9,13.2,17.2,7.3,15.9,15.2,6,0,0,0,0,25.2,37.7,37.1,0,151,12.6,12.6,21.9,15.9,20.5,16.6,0,151,44.4,55.6,3.6,17.1,13.1 
千葉県,146,49.3,7.5,7.5,2.1,4.1,13.7,17.8,8.9,21.9,6.8,0.7,14.4,49.3,23.3,8.2,94.5,5.5,61.6,17.8,25.3,26.7,14.4,54.1,8.2,78.1,20.5,58.9,241.1,146,49.3,7.5,7.5,2.1,4.1,13.7,17.8,8.9,21.9,6.8,0.7,14.4,49.3,23.3,8.2,94.5,5.5,61.6,17.8,25.3,26.7,14.4,54.1,8.2,78.1,20.5,58.9,241.1,138,49.3,8,5.1,1.4,2.2,5.1,18.8,8.7,18.8,5.8,0.7,4.3,34.8,17.4,4.3,86.2,13.8,85.5,26.1,59.4,7.2,26.8,22.5,4.3,40.6,4.3,65.2,9.4,57.2,68,83.8,38.2,67.6,48.5,75,82.4,14.7,73.5,16.2,2.9,0,119,2.5,5.9,9.2,25.2,11.8,16.8,10.1,7.6,6.7,3.4,0,0,0,0,0,0.8,56.3,17.6,10.1,0,0,162.16,134.6,119,54.6,6.7,4.2,1.7,0,1.7,20.2,5.9,18.5,5,0,2.5,28.6,14.3,5,88.2,11.8,64.7,1.7,26.1,21.8,2.5,34.5,5,65.5,5.9,61.3,119,3.4,0.8,3.4,3.4,0.8,0.8,16.8,25.2,10.9,2.5,0.8,0,14.3,2.5,42,57.1,0.8,143.7,119,35.3,23.5,10.9,12.6,9.2,24.4,21,30.3,0.8,67.2,30.3,2.5,200.8,146,80.1,36.3,2.1,2.7,3.4,5.5,17.8,9.6,0.7,89,8.9,2.1,169.2,146,54.1,45.9,146,10.3,15.8,16.4,11,15.8,14.4,9.6,6.8,13.22,2.1,146,6.8,8.2,7.5,6.8,8.2,8.2,4.8,3.4,3.4,7.5,8.9,4.1,7.5,6.2,4.8,3.4,146,6.2,15.1,15.8,12.3,14.4,15.8,11.6,5.5,3.4,0,0,0,0,37,42.5,20.5,0,146,19.2,17.8,24.7,17.8,10.3,10.3,0,146,47.9,52.1,6.9,57.9,15.4 
東京都,268,54.9,7.5,3.4,1.5,6.7,13.8,20.5,8.6,33.2,4.5,0.4,13.1,35.4,13.1,6,96.3,3.7,66,20.5,26.5,36.9,13.1,39.6,6,82.8,17.2,68.7,226.1,268,54.9,7.5,3.4,1.5,6.7,13.8,20.5,8.6,33.2,4.5,0.4,13.1,35.4,13.1,6,96.3,3.7,66,20.5,26.5,36.9,13.1,39.6,6,82.8,17.2,68.7,226.1,258,54.3,7,1.9,1.2,1.9,2.7,20.2,8.5,31.4,2.7,0,4.3,20.2,10.1,5,88.4,11.6,85.7,19,63.6,4.7,26.7,33.3,4.3,24.8,5,66.7,4.7,63.6,140,87.1,55,75,54.3,70,75,20.7,74.3,15,0.7,0,228,1.3,3.9,10.5,21.1,19.3,12.3,9.6,6.6,8.8,0.9,0.9,0,0.9,0,0,3.9,59.2,18,11.4,1.8,0.9,177.16,164.2,228,59.2,7.5,1.8,1.3,2.2,1.8,19.3,8.3,32.9,2.2,0,2.2,18,9.2,3.1,93.4,6.6,69.3,3.9,25.4,34.2,2.2,22.8,3.1,72.4,3.5,69.3,228,3.1,0.4,4.4,2.2,2.2,0.4,14.5,23.2,8.8,2.2,1.8,1.3,9.6,1.8,39,59.2,1.8,136.8,228,29.4,22.8,15.4,15.8,17.5,26.8,26.3,32,2.2,68.9,31.1,0,219.3,268,89.2,44.4,4.9,3.7,3.4,8.6,18.3,11.6,0.7,93.3,6,0.7,191.4,268,56,44,268,11.6,11.9,14.2,15.7,9.7,12.3,13.4,11.2,13.47,2.2,268,4.9,6.3,8.2,7.5,6,8.6,8.6,6,6.7,5.6,6,8.2,3.7,3.7,4.9,5.2,268,6.3,14.2,11.6,16,12.3,11.6,11.6,9.3,6.7,0,0,0.4,0,32.1,39.9,27.6,0.4,268,16,16,23.9,16,15.7,11.9,0.4,268,45.5,54.5,2.1,25.7,14.3 
神奈川県,191,58.1,6.8,1.6,4.2,5.8,9.4,18.8,7.3,21.5,4.7,0.5,13.6,31.4,13.1,6.3,93.2,6.8,70.2,15.2,25.7,24.6,13.6,34.6,6.3,83.2,11,73.3,209.9,191,58.1,6.8,1.6,4.2,5.8,9.4,18.8,7.3,21.5,4.7,0.5,13.6,31.4,13.1,6.3,93.2,6.8,70.2,15.2,25.7,24.6,13.6,34.6,6.3,83.2,11,73.3,209.9,178,59.6,5.6,0,4.5,3.4,1.1,16.3,7.3,20.8,4.5,0.6,3.9,18.5,9.6,4.5,88.8,11.2,86.5,19.1,69.1,4.5,23,23.6,3.9,20.8,4.5,72.5,1.1,71.3,106,89.6,52.8,81.1,66,73.6,84.9,14.2,67,19.8,1.9,0,158,0.6,5.1,9.5,15.2,20.3,17.1,10.8,10.1,3.8,1.9,1.3,0.6,0.6,0.6,0.6,1.9,67.7,19.6,9.5,3.8,1.9,203.12,219,158,63.9,6.3,0,3.8,1.9,1.3,16.5,5.1,21.5,3.8,0,1.9,15.2,8.9,3.8,93.7,6.3,74.1,3.2,20.9,23.4,1.9,17.7,3.8,75.9,1.3,74.7,158,5.1,1.3,3.8,4.4,2.5,0,20.3,26.6,10.8,2.5,0.6,0.6,15.8,3.2,48.7,48.1,3.2,148.7,158,32.9,19.6,10.8,20.9,16.5,26.6,22.2,29.1,3.8,69.6,27.8,2.5,212.7,191,78.5,42.9,4.7,1.6,1.6,9.9,19.9,11.5,0.5,90.6,6.3,3.1,180.6,191,51.3,48.7,191,12.6,10.5,13.1,11,9.9,11.5,15.7,15.7,13.71,2.4,191,5.8,7.3,5.2,5.8,5.8,6.8,6.8,7.9,6.8,3.1,7.9,5.2,4.2,4.7,8.9,7.9,191,7.3,13.6,9.4,13.1,10.5,12.6,13.6,12.6,6.3,0,0.5,0.5,0,30.4,36.1,32.5,1,191,15.2,15.2,20.4,15.7,14.7,17.8,1,191,58.1,41.9,10.7,22.6,16.7 
新潟県,63,38.1,1.6,0,7.9,4.8,9.5,20.6,7.9,33.3,7.9,0,20.6,54,31.7,1.6,93.7,6.3,46,14.3,27,38.1,20.6,65.1,1.6,58.7,9.5,49.2,246,63,38.1,1.6,0,7.9,4.8,9.5,20.6,7.9,33.3,7.9,0,20.6,54,31.7,1.6,93.7,6.3,46,14.3,27,38.1,20.6,65.1,1.6,58.7,9.5,49.2,246,59,39,1.7,0,8.5,1.7,0,22,8.5,33.9,5.1,0,6.8,33.9,18.6,1.7,81.4,18.6,81.4,27.1,47.5,1.7,28.8,37.3,6.8,39,1.7,47.5,0,47.5,23,87,43.5,69.6,43.5,69.6,69.6,8.7,69.6,26.1,0,0,48,4.2,4.2,8.3,25,12.5,25,6.3,8.3,4.2,2.1,0,0,0,0,0,0,58.3,14.6,6.3,0,0,160.73,131.6,48,37.5,2.1,0,8.3,2.1,0,18.8,6.3,39.6,2.1,0,6.3,29.2,12.5,0,83.3,16.7,45.8,2.1,22.9,39.6,6.3,33.3,0,45.8,0,45.8,48,2.1,0,6.3,0,2.1,2.1,12.5,12.5,18.8,2.1,2.1,0,10.4,0,33.3,66.7,0,137.5,48,31.3,33.3,4.2,14.6,10.4,22.9,25,39.6,2.1,70.8,29.2,0,212.5,63,96.8,33.3,1.6,0,6.3,9.5,14.3,9.5,0,98.4,1.6,0,173,63,55.6,44.4,63,9.5,15.9,14.3,14.3,17.5,12.7,9.5,6.3,13.22,2.1,63,1.6,9.5,9.5,9.5,9.5,6.3,7.9,1.6,7.9,6.3,4.8,4.8,7.9,6.3,1.6,4.8,63,6.3,9.5,17.5,12.7,15.9,17.5,9.5,6.3,3.2,1.6,0,0,0,33.3,46,19,1.6,63,19,14.3,23.8,22.2,11.1,7.9,1.6,63,52.4,47.6,9,74.6,15.6 
富山県,36,41.7,0,8.3,2.8,2.8,0,8.3,0,19.4,2.8,0,5.6,22.2,2.8,0,77.8,22.2,52.8,2.8,8.3,19.4,5.6,22.2,0,52.8,8.3,44.4,138.9,36,41.7,0,8.3,2.8,2.8,0,8.3,0,19.4,2.8,0,5.6,22.2,2.8,0,77.8,22.2,52.8,2.8,8.3,19.4,5.6,22.2,0,52.8,8.3,44.4,138.9,28,50,0,7.1,3.6,0,0,10.7,0,3.6,0,0,3.6,17.9,0,0,82.1,17.9,82.1,0,60.7,0,10.7,3.6,3.6,17.9,0,60.7,7.1,53.6,14,78.6,21.4,35.7,7.1,85.7,78.6,14.3,42.9,7.1,0,0,23,0,4.3,21.7,34.8,26.1,0,4.3,0,4.3,0,0,0,0,0,0,4.3,34.8,4.3,4.3,0,0,93.64,81.4,23,60.9,0,4.3,4.3,0,0,13,0,4.3,0,0,0,17.4,0,0,91.3,8.7,69.6,0,13,4.3,0,17.4,0,69.6,4.3,65.2,23,0,0,0,0,0,0,8.7,17.4,4.3,0,0,0,4.3,0,21.7,78.3,0,113,23,8.7,0,13,8.7,8.7,0,8.7,4.3,0,34.8,60.9,4.3,117.4,36,69.4,22.2,2.8,0,0,2.8,11.1,2.8,0,72.2,25,2.8,138.9,36,38.9,61.1,36,8.3,8.3,11.1,22.2,5.6,16.7,13.9,13.9,13.83,2.2,36,2.8,0,8.3,2.8,2.8,5.6,11.1,5.6,5.6,8.3,2.8,19.4,2.8,11.1,2.8,8.3,36,0,11.1,13.9,22.2,5.6,16.7,8.3,16.7,5.6,0,0,0,0,25,44.4,30.6,0,36,8.3,16.7,13.9,30.6,16.7,13.9,0,36,63.9,36.1,3.3,8.5,13.5 
石川県,37,64.9,0,2.7,5.4,0,10.8,10.8,2.7,29.7,2.7,0,8.1,29.7,18.9,2.7,94.6,5.4,73,10.8,13.5,32.4,8.1,35.1,2.7,78.4,13.5,70.3,194.6,37,64.9,0,2.7,5.4,0,10.8,10.8,2.7,29.7,2.7,0,8.1,29.7,18.9,2.7,94.6,5.4,73,10.8,13.5,32.4,8.1,35.1,2.7,78.4,13.5,70.3,194.6,35,65.7,0,2.9,5.7,0,0,11.4,2.9,28.6,2.9,0,0,22.9,14.3,2.9,91.4,8.6,85.7,17.1,74.3,0,14.3,31.4,0,28.6,2.9,74.3,2.9,71.4,23,65.2,17.4,73.9,52.2,60.9,82.6,13,78.3,13,0,0,32,0,6.3,9.4,25,18.8,9.4,9.4,12.5,3.1,3.1,3.1,0,0,0,0,0,59.4,21.9,9.4,3.1,0,180.34,169.8,32,65.6,0,3.1,6.3,0,0,12.5,3.1,31.3,3.1,0,0,25,15.6,3.1,93.8,6.3,75,0,15.6,34.4,0,31.3,3.1,75,3.1,71.9,32,3.1,3.1,0,3.1,0,0,9.4,21.9,3.1,0,0,0,28.1,6.3,46.9,46.9,6.3,131.3,32,37.5,18.8,28.1,21.9,6.3,12.5,31.3,56.3,3.1,75,25,0,240.6,37,94.6,56.8,8.1,27,16.2,8.1,29.7,2.7,2.7,97.3,2.7,0,248.6,37,56.8,43.2,37,2.7,13.5,21.6,2.7,10.8,18.9,8.1,21.6,14.03,2.3,37,0,5.4,13.5,2.7,5.4,10.8,8.1,10.8,2.7,8.1,8.1,0,5.4,8.1,0,10.8,37,2.7,8.1,18.9,8.1,10.8,13.5,10.8,16.2,8.1,0,0,2.7,0,29.7,32.4,35.1,2.7,37,13.5,16.2,21.6,10.8,21.6,13.5,2.7,37,67.6,32.4,2.6,10.8,15.2 
福井県,30,43.3,3.3,0,0,0,10,30,10,40,6.7,0,23.3,43.3,20,3.3,93.3,6.7,46.7,10,36.7,40,23.3,50,3.3,56.7,10,46.7,240,30,43.3,3.3,0,0,0,10,30,10,40,6.7,0,23.3,43.3,20,3.3,93.3,6.7,46.7,10,36.7,40,23.3,50,3.3,56.7,10,46.7,240,28,46.4,3.6,0,0,0,7.1,28.6,10.7,35.7,7.1,0,10.7,21.4,7.1,0,96.4,3.6,96.4,14.3,50,7.1,35.7,35.7,10.7,21.4,0,57.1,7.1,50,13,69.2,23.1,53.8,30.8,61.5,53.8,15.4,61.5,23.1,0,0,27,3.7,3.7,14.8,40.7,11.1,7.4,11.1,3.7,3.7,0,0,0,0,0,0,0,37,7.4,3.7,0,0,116.48,96.7,27,48.1,3.7,0,0,0,7.4,25.9,7.4,37,7.4,0,7.4,22.2,7.4,0,96.3,3.7,51.9,7.4,29.6,37,7.4,22.2,0,59.3,7.4,51.9,27,0,0,0,0,3.7,0,0,11.1,0,0,0,0,11.1,0,25.9,74.1,0,100,27,44.4,33.3,7.4,18.5,7.4,7.4,14.8,7.4,0,63,37,0,177.8,30,90,40,0,6.7,10,6.7,10,3.3,3.3,96.7,3.3,0,173.3,30,56.7,43.3,30,0,13.3,10,23.3,13.3,23.3,6.7,10,13.83,1.8,30,0,10,6.7,13.3,3.3,16.7,3.3,3.3,0,3.3,3.3,10,10,6.7,3.3,6.7,30,0,6.7,13.3,20,13.3,23.3,10,6.7,6.7,0,0,0,0,20,56.7,23.3,0,30,16.7,3.3,30,26.7,10,13.3,0,30,26.7,73.3,1.1,14,13.1 
山梨県,32,56.3,9.4,0,9.4,6.3,3.1,21.9,6.3,25,9.4,0,15.6,34.4,21.9,9.4,90.6,9.4,68.8,9.4,25,34.4,15.6,40.6,9.4,71.9,3.1,71.9,237.5,32,56.3,9.4,0,9.4,6.3,3.1,21.9,6.3,25,9.4,0,15.6,34.4,21.9,9.4,90.6,9.4,68.8,9.4,25,34.4,15.6,40.6,9.4,71.9,3.1,71.9,237.5,29,62.1,10.3,0,10.3,3.4,0,24.1,6.9,27.6,0,0,13.8,27.6,20.7,6.9,93.1,6.9,93.1,27.6,75.9,3.4,27.6,27.6,13.8,31,6.9,79.3,0,79.3,18,83.3,33.3,66.7,44.4,77.8,77.8,33.3,77.8,27.8,0,0,27,0,11.1,11.1,18.5,22.2,14.8,7.4,7.4,3.7,3.7,0,0,0,0,0,0,59.3,14.8,7.4,0,0,158.89,142.8,27,63,11.1,0,11.1,3.7,0,22.2,7.4,25.9,0,0,11.1,29.6,22.2,7.4,92.6,7.4,77.8,3.7,25.9,25.9,11.1,33.3,7.4,81.5,0,81.5,27,0,3.7,0,7.4,0,0,11.1,18.5,11.1,0,0,0,7.4,3.7,29.6,66.7,3.7,133.3,27,33.3,18.5,18.5,14.8,11.1,11.1,25.9,40.7,0,70.4,29.6,0,203.7,32,90.6,56.3,3.1,3.1,3.1,9.4,40.6,12.5,3.1,93.8,0,6.3,228.1,32,43.8,56.3,32,9.4,15.6,3.1,12.5,15.6,12.5,9.4,21.9,13.94,2.4,32,3.1,9.4,0,3.1,6.3,3.1,6.3,12.5,6.3,6.3,3.1,9.4,9.4,9.4,3.1,9.4,32,6.3,18.8,3.1,6.3,18.8,6.3,15.6,18.8,6.3,0,0,0,0,28.1,31.3,40.6,0,32,12.5,15.6,9.4,21.9,21.9,18.8,0,32,56.3,43.8,2.2,49.8,13.3 
長野県,60,55,1.7,3.3,10,1.7,0,11.7,6.7,28.3,8.3,0,18.3,50,13.3,6.7,93.3,6.7,61.7,1.7,16.7,35,18.3,55,6.7,63.3,3.3,61.7,221.7,60,55,1.7,3.3,10,1.7,0,11.7,6.7,28.3,8.3,0,18.3,50,13.3,6.7,93.3,6.7,61.7,1.7,16.7,35,18.3,55,6.7,63.3,3.3,61.7,221.7,56,58.9,1.8,1.8,10.7,0,0,12.5,7.1,28.6,5.4,0,7.1,37.5,10.7,7.1,91.1,8.9,89.3,23.2,64.3,0,17.9,32.1,7.1,42.9,7.1,64.3,1.8,64.3,33,87.9,45.5,78.8,45.5,75.8,84.8,18.2,69.7,27.3,0,0,51,3.9,2,9.8,25.5,9.8,3.9,9.8,13.7,9.8,2,2,2,0,0,0,5.9,52.9,29.4,15.7,3.9,0,204.9,199,51,60.8,2,2,11.8,0,0,11.8,5.9,31.4,5.9,0,5.9,37.3,9.8,5.9,96.1,3.9,66.7,0,15.7,35.3,5.9,43.1,5.9,66.7,2,66.7,51,3.9,3.9,2,3.9,5.9,2,21.6,27.5,17.6,5.9,3.9,3.9,23.5,3.9,47.1,51,2,182.4,51,29.4,25.5,9.8,15.7,19.6,33.3,31.4,21.6,5.9,62.7,37.3,0,229.4,60,83.3,33.3,10,11.7,6.7,15,25,16.7,0,86.7,8.3,5,215,60,53.3,46.7,60,10,8.3,13.3,13.3,8.3,6.7,15,25,14.07,2.5,60,6.7,1.7,11.7,10,6.7,1.7,8.3,6.7,3.3,6.7,1.7,3.3,1.7,5,6.7,18.3,60,8.3,6.7,10,16.7,8.3,6.7,13.3,21.7,8.3,0,0,0,0,25,31.7,43.3,0,60,15,10,21.7,10,16.7,26.7,0,60,48.3,51.7,2.2,22.8,13.9 
岐阜県,61,31.1,0,4.9,3.3,4.9,11.5,21.3,4.9,29.5,6.6,0,24.6,47.5,23,4.9,88.5,11.5,39.3,16.4,26.2,34.4,24.6,50.8,4.9,52.5,16.4,37.7,229.5,61,31.1,0,4.9,3.3,4.9,11.5,21.3,4.9,29.5,6.6,0,24.6,47.5,23,4.9,88.5,11.5,39.3,16.4,26.2,34.4,24.6,50.8,4.9,52.5,16.4,37.7,229.5,54,35.2,0,0,3.7,1.9,0,24.1,5.6,31.5,3.7,0,11.1,27.8,16.7,3.7,79.6,20.4,74.1,24.1,38.9,1.9,29.6,33.3,11.1,33.3,3.7,40.7,0,40.7,19,84.2,36.8,78.9,31.6,84.2,84.2,21.1,68.4,15.8,5.3,0,43,0,4.7,11.6,30.2,23.3,9.3,7,2.3,7,0,2.3,2.3,0,0,0,0,53.5,14,11.6,4.7,0,161.4,179.9,43,44.2,0,0,4.7,2.3,0,25.6,7,37.2,4.7,0,11.6,30.2,16.3,2.3,86,14,48.8,2.3,32.6,39.5,11.6,34.9,2.3,51.2,0,51.2,43,0,0,2.3,4.7,2.3,2.3,16.3,18.6,7,2.3,0,0,20.9,2.3,39.5,58.1,2.3,139.5,43,41.9,32.6,14,16.3,16.3,20.9,34.9,39.5,2.3,79.1,20.9,0,239.5,61,90.2,42.6,6.6,3.3,4.9,16.4,19.7,4.9,0,93.4,1.6,4.9,195.1,61,49.2,50.8,61,11.5,19.7,27.9,4.9,6.6,13.1,9.8,6.6,12.87,2.2,61,4.9,9.8,16.4,3.3,1.6,4.9,4.9,3.3,6.6,9.8,11.5,1.6,4.9,8.2,4.9,3.3,61,4.9,19.7,31.1,4.9,8.2,11.5,11.5,6.6,1.6,0,0,0,0,55.7,24.6,19.7,0,61,29.5,26.2,9.8,14.8,9.8,9.8,0,61,49.2,50.8,7.9,22.3,14.5 
