,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-2学習用タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,1    ,100.0    ,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,1    ,100.0    ,-,-
電子書籍,-,-,-,-
ゲーム,-,-,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｅ１携帯音楽プレイヤー／ＭＡ）〕,,,,
コミニュケーション,5    ,100.0    ,-,-
ニュース,5    ,100.0    ,-,-
情報検索,5    ,100.0    ,-,-
地図・ナビゲーション,3    ,100.0    ,-,-
音楽視聴,16    ,100.0    ,-,-
動画視聴,10    ,100.0    ,-,-
電子書籍,-,-,-,-
ゲーム,9    ,100.0    ,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,1    ,-,-,100.0    
Ｑ３〔ネット利用項目（Ｆ１携帯ゲーム／ＭＡ）〕,,,,
コミニュケーション,9    ,88.9    ,-,11.1    
ニュース,3    ,66.7    ,-,33.3    
情報検索,12    ,91.7    ,8.3    ,-
地図・ナビゲーション,3    ,100.0    ,-,-
音楽視聴,13    ,92.3    ,7.7    ,-
動画視聴,17    ,88.2    ,5.9    ,5.9    
電子書籍,2    ,100.0    ,-,-
ゲーム,55    ,72.7    ,12.7    ,14.5    
ショッピング・オークション,2    ,100.0    ,-,-
その他,2    ,50.0    ,-,50.0    
わからない,3    ,33.3    ,-,66.7    
Ｑ３〔ネット利用項目（Ｆ２据置型ゲーム／ＭＡ）〕,,,,
コミニュケーション,2    ,100.0    ,-,-
ニュース,1    ,100.0    ,-,-
情報検索,2    ,100.0    ,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,2    ,50.0    ,50.0    ,-
動画視聴,6    ,66.7    ,16.7    ,16.7    
電子書籍,-,-,-,-
ゲーム,22    ,72.7    ,13.6    ,13.6    
ショッピング・オークション,-,-,-,-
その他,1    ,100.0    ,-,-
わからない,1    ,100.0    ,-,-
Ｑ３〔ネット利用項目（Ｇ１ネットテレビ／ＭＡ）〕,,,,
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,1    ,-,100.0    ,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,1    ,100.0    ,-,-
電子書籍,-,-,-,-
ゲーム,-,-,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,-,-,-,-
Ｑ４〔ネット利用時間（Ａ１～Ｇ１の合計時間〕,,,,
使っていない,-,-,-,-
３０分未満,10    ,60.0    ,-,40.0    
３０分以上１時間未満,28    ,67.9    ,17.9    ,14.3    
１時間以上２時間未満,46    ,78.3    ,8.7    ,13.0    
２時間以上３時間未満,20    ,95.0    ,5.0    ,-
３時間以上４時間未満,18    ,50.0    ,27.8    ,22.2    
４時間以上５時間未満,4    ,100.0    ,-,-
５時間以上６時間未満,3    ,66.7    ,33.3    ,-
６時間以上９時間未満,7    ,100.0    ,-,-
９時間以上１２時間未満,2    ,100.0    ,-,-
１２時間以上１５時間未満,-,-,-,-
１５時間以上１８時間未満,-,-,-,-
１８時間以上２１時間未満,-,-,-,-
２１時間以上２４時間未満,-,-,-,-
２４時間以上,-,-,-,-
わからない,1    ,-,100.0    ,-
２時間以上（計）,54    ,79.6    ,13.0    ,7.4    
５時間以上（計）,12    ,91.7    ,8.3    ,-
６時間以上（計）,9    ,100.0    ,-,-
１２時間以上（計）,-,-,-,-
１８時間以上（計）,-,-,-,-
Ｑ４〔ネット利用時間（Ａ１スマホ）〕,,,,
使っていない,2    ,50.0    ,-,50.0    
３０分未満,4    ,100.0    ,-,-
３０分以上１時間未満,1    ,100.0    ,-,-
１時間以上２時間未満,13    ,76.9    ,15.4    ,7.7    
２時間以上３時間未満,8    ,50.0    ,25.0    ,25.0    
３時間以上４時間未満,8    ,87.5    ,12.5    ,-
４時間以上５時間未満,-,-,-,-
５時間以上,4    ,75.0    ,25.0    ,-
わからない,-,-,-,-
２時間以上（計）,20    ,70.0    ,20.0    ,10.0    
Ｑ４〔ネット利用時間（Ａ２格安スマホ）〕,,,,
使っていない,-,-,-,-
３０分未満,-,-,-,-
３０分以上１時間未満,-,-,-,-
１時間以上２時間未満,-,-,-,-
２時間以上３時間未満,-,-,-,-
３時間以上４時間未満,-,-,-,-
４時間以上５時間未満,-,-,-,-
５時間以上,-,-,-,-
わからない,-,-,-,-
２時間以上（計）,-,-,-,-
