,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
  いない,1204    ,4.2    ,0.7    ,2.8    ,2.5    ,1.9    ,0.4    ,16.0    ,22.2    ,11.0    ,2.5    ,1.4    ,0.8    ,12.1    ,1.4    ,28.7    ,0.7    ,28.7    ,6.2    ,12.0    ,13.5    ,40.5    ,58.3    ,1.2    ,139.5    
小学生（計）,572    ,3.0    ,1.0    ,0.9    ,1.2    ,0.2    ,-,4.4    ,2.8    ,3.8    ,0.7    ,0.7    ,0.5    ,5.8    ,1.2    ,8.9    ,1.0    ,8.9    ,1.9    ,4.5    ,6.8    ,16.4    ,81.5    ,2.1    ,109.8    
  １人以上いる,263    ,2.3    ,1.1    ,1.1    ,0.8    ,-,-,4.2    ,2.3    ,1.9    ,0.4    ,0.4    ,0.4    ,6.1    ,0.8    ,8.0    ,1.1    ,8.0    ,1.5    ,2.3    ,6.8    ,14.1    ,83.7    ,2.3    ,107.6    
  いない,309    ,3.6    ,1.0    ,0.6    ,1.6    ,0.3    ,-,4.5    ,3.2    ,5.5    ,1.0    ,1.0    ,0.6    ,5.5    ,1.6    ,9.7    ,1.0    ,9.7    ,2.3    ,6.5    ,6.8    ,18.4    ,79.6    ,1.9    ,111.7    
中学生（計）,1055    ,3.8    ,1.0    ,3.1    ,1.3    ,2.1    ,0.3    ,15.1    ,17.3    ,10.9    ,2.5    ,1.0    ,0.9    ,12.2    ,1.5    ,25.7    ,1.0    ,26.0    ,6.0    ,11.7    ,13.7    ,38.7    ,60.4    ,0.9    ,134.3    
  １人以上いる,580    ,3.4    ,1.6    ,2.9    ,1.0    ,1.7    ,-,15.2    ,17.1    ,11.2    ,2.1    ,0.7    ,1.0    ,12.8    ,1.7    ,25.7    ,1.6    ,26.2    ,5.2    ,11.6    ,14.5    ,38.4    ,60.7    ,0.9    ,134.0    
  いない,475    ,4.2    ,0.4    ,3.4    ,1.7    ,2.5    ,0.6    ,14.9    ,17.5    ,10.5    ,2.9    ,1.5    ,0.6    ,11.6    ,1.3    ,25.7    ,0.4    ,25.7    ,6.9    ,11.8    ,12.8    ,38.9    ,60.0    ,1.1    ,134.7    
高校生（計）,965    ,4.0    ,1.1    ,5.1    ,3.3    ,2.8    ,1.3    ,25.4    ,39.9    ,15.2    ,3.7    ,1.3    ,0.9    ,16.7    ,1.7    ,45.3    ,1.1    ,45.3    ,10.2    ,15.9    ,18.4    ,56.7    ,42.9    ,0.4    ,165.9    
  １人以上いる,553    ,3.8    ,1.3    ,6.0    ,2.7    ,3.1    ,2.0    ,25.0    ,38.3    ,15.0    ,4.3    ,1.3    ,0.7    ,15.7    ,1.8    ,44.3    ,1.3    ,44.3    ,11.4    ,15.6    ,17.7    ,54.6    ,45.2    ,0.2    ,166.4    
  いない,412    ,4.4    ,1.0    ,3.9    ,4.1    ,2.4    ,0.5    ,26.0    ,42.0    ,15.5    ,2.9    ,1.5    ,1.2    ,18.0    ,1.5    ,46.6    ,1.0    ,46.6    ,8.5    ,16.3    ,19.4    ,59.5    ,39.8    ,0.7    ,165.3    
〔地域〕,,,,,,,,,,,,,,,,,,,,,,,,,
北海道・東北,323    ,5.3    ,0.3    ,2.8    ,1.2    ,-,-,17.0    ,19.8    ,10.5    ,3.1    ,1.2    ,-,11.5    ,0.6    ,30.3    ,0.3    ,30.3    ,4.0    ,11.8    ,12.1    ,40.2    ,59.1    ,0.6    ,133.1    
北関東,414    ,4.3    ,1.7    ,3.1    ,2.9    ,2.2    ,-,15.5    ,23.4    ,14.0    ,1.7    ,1.0    ,1.2    ,12.8    ,1.2    ,30.0    ,1.7    ,30.2    ,7.0    ,14.7    ,13.8    ,42.5    ,55.3    ,2.2    ,142.5    
南関東,379    ,4.0    ,1.1    ,2.4    ,2.1    ,1.3    ,0.3    ,19.3    ,26.1    ,9.8    ,2.9    ,1.1    ,0.5    ,13.5    ,2.1    ,33.2    ,1.1    ,33.5    ,5.8    ,10.3    ,15.8    ,44.3    ,55.1    ,0.5    ,142.0    
東海・北陸・信越,549    ,2.9    ,0.7    ,4.2    ,2.6    ,2.6    ,0.7    ,19.1    ,24.0    ,11.3    ,2.9    ,1.1    ,2.0    ,13.5    ,0.7    ,30.2    ,0.7    ,30.2    ,8.0    ,12.2    ,14.6    ,40.3    ,59.0    ,0.7    ,148.1    
近畿,424    ,4.5    ,1.4    ,6.4    ,2.8    ,2.6    ,1.7    ,14.6    ,20.8    ,10.4    ,2.6    ,1.4    ,0.5    ,11.1    ,3.3    ,27.1    ,1.4    ,27.1    ,9.9    ,10.8    ,13.9    ,40.1    ,59.4    ,0.5    ,143.9    
中国・四国,249    ,3.6    ,1.2    ,1.6    ,0.8    ,2.4    ,1.2    ,14.5    ,20.5    ,12.9    ,4.0    ,1.2    ,0.8    ,10.0    ,0.8    ,25.7    ,1.2    ,25.7    ,5.6    ,13.3    ,10.8    ,36.5    ,61.8    ,1.6    ,139.0    
九州・沖縄,277    ,1.8    ,1.1    ,1.1    ,0.7    ,1.8    ,0.4    ,14.4    ,21.7    ,7.9    ,1.1    ,1.1    ,-,14.8    ,1.4    ,27.1    ,1.1    ,27.4    ,3.2    ,8.3    ,16.2    ,36.8    ,62.1    ,1.1    ,132.5    
〔都市規模〕,,,,,,,,,,,,,,,,,,,,,,,,,
